ID,Sex,Male_Name,Male_Count,Female_Name,Female_Count
alaska,Male,William,57,Sophia,62
alabama,Male,William,496,Emma,318
arkansas,Male,William,195,Emma,202
arizona,Male,Jacob,543,Isabella,556
california,Male,Jacob,3351,Isabella,3366
colorado,Male,Jacob,338,Isabella,342
connecticut,Male,Michael,252,Isabella,278
district of columbia,Male,William,71,Madison,50
delaware,Male,Michael,68,Sophia,73
florida,Male,Jayden,1293,Isabella,1837
georgia,Male,William,796,Isabella,570
hawaii,Male,Noah,88,Isabella,70
iowa,Male,Mason,183,Ava,208
idaho,Male,Samuel,114,Olivia,122
illinois,Male,Alexander,914,Isabella,945
indiana,Male,Elijah,449,Emma,457
kansas,Male,Jacob,206,Isabella,214
kentucky,Male,William,375,Isabella,375
louisiana,Male,Jayden,313,Ava,299
massachusetts,Male,Ryan,449,Isabella,497
maryland,Male,Jacob,388,Sophia,344
maine,Male,Owen,85,Emma,91
michigan,Male,Jacob,677,Sophia,634
minnesota,Male,Mason,406,Ava,384
missouri,Male,Jacob,420,Isabella,427
mississippi,Male,William,218,Madison,203
montana,Male,Wyatt,60,Emma,62
north carolina,Male,William,821,Emma,578
north dakota,Male,Mason,64,Sophia,53
nebraska,Male,Jacob,130,Olivia,156
new hampshire,Male,Logan,98,Sophia,91
new jersey,Male,Michael,707,Isabella,749
new mexico,Male,Elijah,143,Isabella,157
nevada,Male,Jacob,198,Isabella,226
new york,Male,Michael,1516,Isabella,1523
ohio,Male,Jacob,755,Isabella,791
oklahoma,Male,Jacob,232,Isabella,253
oregon,Male,Jacob,240,Sophia,244
pennsylvania,Male,Michael,827,Isabella,899
rhode island,Male,Logan,84,Isabella,93
south carolina,Male,William,398,Madison,290
south dakota,Male,Jacob,68,Sophia,59
tennessee,Male,William,569,Isabella,444
texas,Male,Jacob,2273,Isabella,2296
utah,Male,William,264,Olivia,269
virginia,Male,William,621,Olivia,495
vermont,Male,Logan,43,Sophia,45
washington,Male,Jacob,414,Sophia,464
wisconsin,Male,Mason,448,Sophia,397
west virginia,Male,Jacob,169,Isabella,153
wyoming,Male,James,36,Isabella,44
