ID,Sex,Name,Count
alaska,Male,William,57
alabama,Male,William,496
arkansas,Male,William,195
arizona,Male,Jacob,543
california,Male,Jacob,3351
colorado,Male,Jacob,338
connecticut,Male,Michael,252
district of columbia,Male,William,71
delaware,Male,Michael,68
florida,Male,Jayden,1293
georgia,Male,William,796
hawaii,Male,Noah,88
iowa,Male,Mason,183
idaho,Male,Samuel,114
illinois,Male,Alexander,914
indiana,Male,Elijah,449
kansas,Male,Jacob,206
kentucky,Male,William,375
louisiana,Male,Jayden,313
massachusetts,Male,Ryan,449
maryland,Male,Jacob,388
maine,Male,Owen,85
michigan,Male,Jacob,677
minnesota,Male,Mason,406
missouri,Male,Jacob,420
mississippi,Male,William,218
montana,Male,Wyatt,60
north carolina,Male,William,821
north dakota,Male,Mason,64
nebraska,Male,Jacob,130
new hampshire,Male,Logan,98
new jersey,Male,Michael,707
new mexico,Male,Elijah,143
nevada,Male,Jacob,198
new york,Male,Michael,1516
ohio,Male,Jacob,755
oklahoma,Male,Jacob,232
oregon,Male,Jacob,240
pennsylvania,Male,Michael,827
rhode island,Male,Logan,84
south carolina,Male,William,398
south dakota,Male,Jacob,68
tennessee,Male,William,569
texas,Male,Jacob,2273
utah,Male,William,264
virginia,Male,William,621
vermont,Male,Logan,43
washington,Male,Jacob,414
wisconsin,Male,Mason,448
west virginia,Male,Jacob,169
wyoming,Male,James,36
